!Series_platform_id	GPL21103			
GENE	rna	Mo~rep1	Oc~rep1	@OC_up
1-Mar	-2.467845902	962.6314865	173.1868401	
2-Mar	-0.091473179	1257.753046	1180.420122	
3-Mar	-1.407437867	55.26821728	20.21202552	
4-Mar	-0.266017012	1.70900884	1.252845051	
5-Mar	-0.15553888	1483.004468	1331.334703	
6-Mar	-0.150742722	2594.414426	2336.914548	
7-Mar	-0.204330741	1934.011695	1678.476426	
8-Mar	-0.539614004	3206.942829	2205.920143	
9-Mar	-0.667186375	81.05040967	50.66990253	
10-Mar	0.269288718	0.243467138	0.498643361	
11-Mar	0	0	0	
1-Sep	0.011968026	0.491395987	0.503819476	
2-Sep	1.074496592	4447.570308	9367.631635	
3-Sep	-0.210720105	3.893928937	3.228872452	
4-Sep	-0.166166015	0.970055632	0.755729214	
5-Sep	-0.055290034	11.44692914	10.97893638	
6-Sep	-1.804680111	448.0665561	127.5428328	
7-Sep	0.063448963	5978.228239	6247.059731	
8-Sep	-0.613885668	4028.240955	2631.844682	
9-Sep	0.546606783	5062.353826	7394.768598	
10-Sep	-0.265628927	370.9274761	308.3826736	
11-Sep	1.258206967	2004.43643	4795.969285	
12-Sep	0	0	0	
14-Sep	0	0	0.248325387	
0610009B22RIK	-0.054148278	326.6969809	314.6255733	
0610009E02RIK	-1.025157436	4.606942276	1.755008521	
0610009L18RIK	-0.645018215	21.28363647	13.25004495	
0610009O20RIK	0.239771972	765.7547608	904.3886312	
0610010F05RIK	0.001964499	858.5387183	859.7099381	
0610010K14RIK	-0.033741192	284.5642098	277.9630385	
0610012D04RIK	0	0	0	
0610012G03RIK	-0.202711255	676.6480581	587.8192909	
0610025J13RIK	0	0	0	
0610030E20RIK	-0.330845243	973.1370228	773.507642	
0610031O16RIK	0	0	0	
0610037L13RIK	-0.093301034	546.3641377	512.0857227	
0610038B21RIK	0.155759012	46.75813649	52.20292469	
0610039K10RIK	-0.731780793	6.064209346	3.253785553	
0610040B10RIK	-0.461084973	22.37716389	15.98210079	
0610040F04RIK	0.967161417	2.188733018	5.233941979	
0610040J01RIK	0.864788491	9.697560231	18.48103453	
0610043K17RIK	-0.978337851	0.970194213	0	
1010001B22RIK	-0.699203895	3.870081341	1.999541461	
1010001N08RIK	0	0	0	
1110002E22RIK	0	0	0.496650775	
1110002J07RIK	2.738424363	33.92656006	232.0792907	
1110002L01RIK	-0.196652487	419.8305443	366.2053132	
1110002O04RIK	0	0	0	
1110003F10RIK	-0.454100814	4.138372373	2.75083196	
1110004E09RIK	0.839096161	140.0870021	251.394635	
1110004F10RIK	0.35416599	1893.266687	2420.339618	
1110006O24RIK	-0.040109659	8.248436537	7.994853832	
1110008E08RIK	0	0	0	
1110008F13RIK	-0.128088844	728.5309881	666.5520898	
1110008L16RIK	0.286338377	313.2090246	382.1908189	
1110008P14RIK	1.224572966	625.6112784	1463.304517	
1110012L19RIK	-0.071868683	322.3700666	306.6558566	
1110015O18RIK	0	0	0	
1110017D15RIK	0.007055576	0.491395987	0.498707602	
1110018N20RIK	-0.793080879	0.732770851	0	
1110019D14RIK	0.176793914	113.7057638	128.6598492	
1110020A21RIK	-0.368302979	8.032541682	5.997448812	
1110025L11RIK	0	0	0	
1110025M09RIK	-1.263895794	50.03439673	20.25163949	
1110028F11RIK	0	0	0	
1110028F18RIK	0	0	0	
1110032A03RIK	-0.275545205	362.7221424	299.4847034	
1110032F04RIK	0	0	0.496650775	
1110034G24RIK	-0.559791043	171.5419669	116.0525419	
1110035H17RIK	0.530130818	4.365195785	6.747665331	
1110036E04RIK	0	0	0	
1110038B12RIK	0.503717841	357.0216487	506.6255436	
1110038F14RIK	0.140105511	296.779099	327.1483108	
1110046J04RIK	-0.553769896	129.468582	87.88011196	
1110051M20RIK	0.023971554	1077.755832	1095.829982	
1110057P08RIK	0	0	0	
1110059E24RIK	0.130195789	395.789549	433.2632344	
1110059G10RIK	-0.30692458	448.242484	362.1510591	
1110060G06RIK	0	0	0	
1110065P20RIK	0.429970882	108.8668016	147.0132567	
1190002N15RIK	-1.588920816	1717.411512	570.2343923	
1190005I06RIK	0.442221384	11.85352223	16.46401334	
1190007I07RIK	0.327005838	68.29132067	85.91953715	
1200007C13RIK	0	0	0.503819476	
1300002E11RIK	-1.067933446	92.16546914	43.44009457	
1300017J02RIK	0.009251699	0.487211439	0.496779258	
1500002C15RIK	-0.268601889	370.5187205	307.4064674	
1500002F19RIK	-0.39936701	0.974145715	0.496779258	
1500004A13RIK	-0.034045247	247.6584398	241.859202	
1500005C15RIK	-0.344100673	1.217612854	0.74703299	
1500009C09RIK	-0.316954344	0.245697993	0	
1500009L16RIK	-0.981025919	0.973868553	0	
1500011B03RIK	-0.809101307	212.6792865	120.9547336	
1500011K16RIK	0.231036706	168.858962	198.3597335	
1500012K07RIK	0	0	0	
1500015A07RIK	-0.327513154	41.35817343	32.75560847	
1500015L24RIK	0	0	0	
1500015O10RIK	-0.314529156	0.243605719	0	
1500026H17RIK	0.114596567	7.772941024	8.498219765	
1500035N22RIK	0	0	0	
1520401A03RIK	-1.293238359	2.685523992	0.503819476	
1600002D24RIK	0.271677047	0.245697993	0.503819476	
1600002K03RIK	-0.048582919	178.9680161	173.00848	
1600010M07RIK	-0.191631924	96.88294494	84.70774522	
1600012H06RIK	-0.397141415	1335.449594	1013.848245	
1600012P17RIK	0	0	0	
1600014C10RIK	-0.848079672	587.991408	326.1986773	
1600014C23RIK	0	0	0.248389629	
1600015I10RIK	0	0	0.248389629	
1600017P15RIK	0	0	0	
1600019K03RIK	0	0	0.248389629	
1600020E01RIK	-0.496894674	55.40225112	38.96835152	
1600023N17RIK	-0.206062807	0.726588493	0.496779258	
1600025M17RIK	0	0	0.250317973	
1600029O15RIK	-0.504812901	2.196081698	1.25244423	
1700001C02RIK	0	0	0	
1700001C19RIK	-0.653692843	26.90464791	16.73762191	
1700001D01RIK	0	0	0	
1700001F09RIK	0	0	0	
1700001G01RIK	0	0	0	
1700001G11RIK	-0.562891123	2.683803345	1.4937294	
1700001G17RIK	0	0	0.754137449	
1700001J03RIK	0.334998611	0.978468844	1.495593502	
1700001J04RIK	0	0	0	
1700001J11RIK	-0.095078417	1.942757862	1.755072762	
1700001K19RIK	0.019004794	1.215892206	1.245275529	
1700001L05RIK	0.337395283	38.89555924	49.40697759	
1700001L19RIK	0.427086066	0.48535221	0.997078625	
1700001N15RIK	0	0	0	
1700001O22RIK	-0.206149186	0.730678577	0.500235125	
1700001P01RIK	0	0	1.492073393	
1700003C15RIK	0.010056276	0.239654217	0.248325387	
1700003D09RIK	-0.314368381	0.243467138	0	
1700003E16RIK	-0.082215536	5.083371066	4.74638825	
1700003E24RIK	0	0	0	
1700003F12RIK	0.882827589	2.92253161	6.233092803	
1700003G13RIK	0	0	0	
1700003G18RIK	0	0	0.496715016	
1700003H04RIK	0	0	0	
1700003I22RIK	0	0	0	
1700003L19RIK	0	0	0	
1700003M07RIK	-0.250373193	0.489165132	0.251909738	
1700003N22RIK	0.502132597	0.239654217	0.755729214	
1700003P14RIK	0	0	0	
1700006A11RIK	0	0	0	
1700006E09RIK	-0.252208703	0.489165132	0.250317973	
1700006F04RIK	0	0	0	
1700006H21RIK	0	0	0	
1700006J14RIK	-1.441450403	150.9815942	54.95916005	
1700006P03RIK	0	0	0	
1700007E05RIK	0.682118729	0.243605719	0.995358377	
1700007F19RIK	0	0	0	
1700007G11RIK	-0.572609772	0.487211439	0	
1700007J10RIK	0.06899502	21.86461211	22.98465129	
1700007K09RIK	0	0	0.496650775	
1700007K13RIK	-1.550591252	5.59475761	1.251253286	
1700007L15RIK	-0.173943751	19.86672324	17.49660275	
1700007M16RIK	0	0	0	
1700007P06RIK	-0.868466716	2.192501822	0.748624754	
1700008A23RIK	0	0	0	
1700008B11RIK	-0.969411388	8.78673925	3.998228558	
1700008H02RIK	0.025542911	1.701244417	1.749495826	
1700008J07RIK	-0.141440541	29.87958302	26.9958451	
1700008K24RIK	0	0	0	
1700008O03RIK	-0.40715123	9.263868272	6.740095809	
1700008P02RIK	0	0	0	
1700009C05RIK	0	0	0.503819476	
1700009J07RIK	0	0	0	
1700009N14RIK	0	0	0	
1700010B08RIK	0	0	0	
