!Series_platform_id	GPL6885			
GENE	rna	Control~osteoclast~progenitors~1	Control~mature-osteoclast~progenitors~1	@OC_up
CRADD	0.028948472	4.763693877	4.860448147	
DSCR1L1	0.629407582	4.627893315	7.16449465	
4933428A15RIK	0.189193792	6.021184085	6.866312266	
TCERG1L	-0.007959841	4.647885624	4.622257245	
A430031N04	0.02997895	4.590847275	4.687452315	
STRAP	-0.036767478	11.99230454	11.69028737	
LMAN1	-0.070096855	9.842548826	9.375282287	
SLC6A13	0.330820381	4.880496836	6.140916622	
4732496O08RIK	-0.044718984	8.403998651	8.147191959	
3222401M22RIK	0.620663402	5.618109274	8.643679812	
ELAC2	0.067406285	6.654351783	6.973115531	
MAFA	-0.221883959	5.61758011	4.815340435	
FANK1	-0.024810957	4.730731085	4.649898729	
PTPN2	-0.031878869	4.681723714	4.579188892	
MAPK13	-0.020039183	4.743277269	4.677710178	
E130307J07RIK	-0.099668937	6.099793733	5.691947429	
GPR84	-0.911400186	12.69462977	6.744655742	
AMPD3	0.039027601	4.585714493	4.711734019	
HBA-A1	0.008771222	4.585678282	4.613703955	
LYRM5	0.434122772	8.124141652	10.97994976	
BC034097	-0.037347501	4.793997263	4.671230579	
TGIF	-0.200170867	8.029321188	6.987806749	
PRNPIP1	0.299549959	7.752918137	9.544292421	
MSMB	-0.070376092	4.858149271	4.626375175	
MAB21L1	-0.038030995	4.715058562	4.592128335	
C330016H24RIK	-0.007371864	7.03196133	6.996070186	
OLFR545	0.024883408	4.484735416	4.56293243	
4930511I11RIK	-0.003262194	4.661726042	4.651174359	
MMAB	0.184870859	5.412403843	6.153728962	
H13	-0.056868388	8.174542532	7.858198706	
KIF18A	-0.354020126	6.355871465	4.970663352	
POU3F3	0.022068206	4.71249062	4.785283587	
PLA2G2E	-0.046226029	4.768395152	4.617715373	
ROR1	0.089469121	4.612156701	4.907875771	
TGIF2	-0.050835983	4.710474459	4.547036389	
UGT1A6A	-0.226796246	6.745234351	5.762553239	
PTPRC	-0.2613202	7.282619908	6.074408439	
RNF24	0.020941485	4.766725089	4.836567464	
TXNL2	0.046765035	6.338962923	6.548136761	
A630026F21RIK	-0.000709155	4.956393252	4.953952628	
ARHGEF19	0.008990632	4.835896851	4.866189955	
4921530G04RIK	0.026974241	4.691483546	4.780214666	
PPIL5	-0.043863295	4.629884228	4.490937444	
CASK	-0.04497946	9.146501327	8.865429859	
RAB4A	0.14658194	7.763488709	8.594814903	
SLC7A3	0.169931783	4.95818263	5.579231732	
D430039N05RIK	-0.02748058	4.852015593	4.760279968	
OLFR345	-0.013975278	4.738278997	4.692504839	
FZD4	0.026869062	4.796719922	4.887080139	
AIF1	-0.311330392	8.73888856	7.040713992	
OXCT2B	0.051277823	4.585570593	4.751848836	
AP2S1	-0.025549359	11.93436418	11.72469788	
NCSTN	0.043532791	9.114130829	9.393644007	
TXLNB	-0.130494383	5.042107128	4.605192578	
WDR4	0.005522129	5.530121396	5.551367666	
WDR23	0.164368536	6.980723784	7.824332549	
BC020188	-0.000708289	4.781419244	4.77906748	
ZFP318	-0.067445244	6.721222284	6.413783431	
4122402O22RIK	-0.122140143	7.063121828	6.488951437	
5430438H03RIK	-0.083198217	5.444853048	5.139177897	
TSN	-0.057524832	7.267238997	6.982781178	
