!Series_platform_id	GPL21103			
GENE	rna	WT~RANKL	Foxo3~RANKL	@OC_up
ZZEF1	-0.069697461	9.551681	9.100731	
ZYX	-0.254995213	23.752101	19.902401	
ZYG11B	0.030661994	8.107041	8.281401	
ZYG11A	0	1.00E-06	1.00E-06	
ZXDC	0.015266966	5.727681	5.788721	
ZXDB	0.346971799	1.086701	1.384881	
ZWINT	0.011258256	12.435501	12.533001	
ZWILCH	-0.242031478	2.862781	2.419091	
ZW10	-0.032115998	7.427601	7.263861	
ZUFSP	0.050298722	5.983071	6.195701	
ZSWIM8	-0.066069976	20.759201	19.829501	
ZSWIM7	0.108524201	16.715801	18.022501	
ZSWIM6	0.01091963	11.559401	11.647301	
ZSWIM5	0.112529106	1.181911	1.278601	
ZSWIM4	-0.034242523	37.661101	36.777501	
ZSWIM3	0.194014603	2.655091	3.038711	
ZSWIM1	-0.114142631	4.352631	4.020771	
ZSCAN5B	0.415991941	0.0343118	0.0491215	
ZSCAN29	-0.090439184	5.163031	4.848701	
ZSCAN26	0.02775417	13.457901	13.719501	
ZSCAN25	-0.064487706	7.407791	7.083521	
ZSCAN22	-0.082098214	3.375561	3.188281	
ZSCAN21	0.009204107	9.216281	9.275331	
ZSCAN20	-0.348315381	0.786912	0.615975	
ZSCAN2	0.097007014	2.154271	2.304801	
ZSCAN18	-0.314719785	0.103198	0.081012	
ZSCAN12	0.369594084	1.761161	2.278321	
ZSCAN10	0.915953219	1.00E-06	0.00887004	
ZRSR2	-0.028361014	5.672101	5.561491	
ZRSR1	-0.275688136	3.929951	3.244621	
ZRANB3	-0.209855668	1.566421	1.353011	
ZRANB2	0.117789882	31.007501	33.646201	
ZRANB1	-0.060373438	8.784131	8.423711	
ZPBP2	0.912032325	0.0328382	0.0706084	
ZPBP	0.976129793	0.117579	0.240971	
ZP3	0	1.00E-06	1.00E-06	
ZP1	0	1.00E-06	1.00E-06	
ZNRF3	0.04280815	0.857053	0.883166	
ZNRF2	-0.015067017	23.754801	23.507901	
ZNRF1	0.088744651	18.453401	19.624801	
ZNRD1AS	0.064657147	3.529111	3.691331	
ZNRD1	0.126767573	17.170101	18.748001	
ZNHIT6	-0.031376782	4.123601	4.034671	
ZNHIT3	-0.208708154	6.615001	5.722691	
ZNHIT2	0.264620535	7.868451	9.454541	
ZNHIT1	0.193645233	29.243801	33.446101	
ZNFX1	-0.015746355	33.798701	33.431701	
ZNF512B	0.016289355	6.731581	6.808131	
ZMYND8	0.023890801	28.922101	29.405201	
ZMYND19	-0.007678085	9.149921	9.101301	
ZMYND15	-0.238720967	2.192111	1.856281	
ZMYND12	-0.004895366	0.134356	0.133867	
ZMYND11	0.023457564	23.122601	23.501801	
ZMYND10	0.36603742	0.0210116	0.029968	
ZMYM6	0.151257956	4.917021	5.461641	
ZMYM5	-0.047383377	6.627541	6.413081	
ZMYM4	-0.155730431	7.021121	6.301681	
ZMYM3	0.079190685	10.146801	10.719901	
ZMYM2	0.14273488	10.485601	11.577101	
ZMYM1	-0.308481778	4.243621	3.424761	
ZMPSTE24	-0.007559711	44.170501	43.939601	
ZMIZ2	0.035325003	86.206301	88.343401	
ZMIZ1	-0.115317734	66.400201	61.298501	
ZMAT5	0.211718283	20.501601	23.743801	
ZMAT3	-0.375358679	4.644491	3.578211	
ZMAT2	-0.130682966	30.360301	27.730201	
ZMAT1	-0.066250142	1.534471	1.465151	
ZKSCAN8	0.184956472	3.433711	3.904751	
ZKSCAN7	0.130618892	1.418191	1.553531	
ZKSCAN6	-0.114914651	4.421641	4.082341	
ZKSCAN5	-0.042247543	3.161611	3.070081	
ZKSCAN4	0.040470655	0.596553	0.613809	
ZKSCAN3	0.067362436	13.751701	14.409501	
ZKSCAN2	-0.85550983	0.00809579	1.00E-06	
ZKSCAN17	-0.010952407	9.608021	9.535281	
ZKSCAN16	-1.337639763	0.0389156	0.00935431	
ZKSCAN14	-0.092104467	5.179441	4.858491	
ZKSCAN1	0.111278625	4.522011	4.885411	
ZIM1	0	1.00E-06	1.00E-06	
ZIK1	-0.623974585	0.484288	0.310734	
ZIC5	0	1.00E-06	1.00E-06	
ZIC4	-2.033106046	0.0309326	1.00E-06	
ZIC2	0.306693871	0.0149086	0.0208087	
ZIC1	-0.345085803	0.0252371	0.0177408	
ZHX3	0.122378672	1.722331	1.875691	
ZHX2	0.137754372	0.986973	1.086861	
ZHX1	0.020668464	14.585201	14.795801	
ZGPAT	0.082171684	11.083601	11.733801	
ZGLP1	0.226819869	0.110427	0.13093	
ZG16	0	1.00E-06	1.00E-06	
ZFYVE9	-0.041794976	3.190901	3.099501	
ZFYVE28	-0.13483759	7.989651	7.275861	
ZFYVE27	0.071127551	8.295331	8.715061	
ZFYVE26	-0.070759493	9.401371	8.950911	
ZFYVE21	-0.00653589	11.870301	11.816601	
ZFYVE20	-0.101993782	7.651501	7.128561	
ZFYVE19	0.03215338	10.275201	10.507001	
ZFYVE16	-0.070126824	7.381601	7.030901	
ZFYVE1	-0.333152639	13.847901	10.990401	
ZFX	0.038698638	9.436111	9.692921	
ZFR2	0.369045431	0.265477	0.345778	
ZFR	0.010131272	25.872701	26.055101	
ZFPM2	0	1.00E-06	1.00E-06	
ZFPM1	0.249190219	1.717911	2.043691	
ZFPL1	0.089487258	17.425001	18.540701	
ZFP97	0.27823207	0.713142	0.86696	
ZFP964	-0.061880591	0.819215	0.7844	
ZFP963	-0.10997378	1.847481	1.711151	
ZFP961	0.14819493	6.500321	7.204621	
ZFP960	-0.172511519	0.513383	0.454396	
ZFP959	-0.079847335	2.281881	2.158481	
ZFP958	-0.045289181	3.928591	3.806871	
ZFP957	0.20986702	0.040649	0.0485797	
ZFP956	-0.430078007	1.720091	1.274111	
