!Series_platform_id				
GENE	rna	wildsubtype~osteoclast~MsubCSF~RANKL~24H~rep1	wildsubtype~osteoclast~MsubCSF~RANKL~ILsub3~24H~rep1	@OC_down
PHTF1	-0.371202329	2.05282375	1.36025375	
RNF114	0.198409096	23.798886	27.455044	
AKTIP	0.291047015	1.4707402	2.0230196	
ZFP120	-0.061920045	2.362683	2.221411	
PPCDC	-0.718897147	7.651457	4.256294	
EPHA3	0	0	0	
GM14484	-0.012554372	0.00874	0	
ARMC3	0.043188902	0.00489125	0.03542875	
PRKCA	0.131846172	0.470778	0.611524	
PDAP1	-0.535582846	70.105645	48.054356	
MC2R	0	0	0	
GNAS	0.60423329	19.851932	30.69849513	
MORF4L2	-0.13176932	22.35933814	20.32033457	
MUP1	0	0	0	
ZFP2	-0.008954401	0.0226754	0.0163476	
CCK	0	0	0.053757	
OLFR549	0	0	0	
SNORA62	0	0	0	
PEX11B	-0.072084709	2.8227668	2.6364544	
RORA	0.022388497	0.047322667	0.063702333	
AFAP1L2	-0.000132894	0.002416667	0.002324333	
N4BP3	-0.31742667	2.551094	1.849753	
RBMS2	0.148272997	2.2374945	2.5879275	
LAMP2	0.803900345	29.58541867	52.39647	
RASA1	0.110089198	18.75674	20.32335	
PRDX6B	0	0	0	
SIGLEC1	1.643865694	8.059324	27.310574	
KARS	-0.43195967	29.32360767	21.47750233	
RAP2B	0.566589034	21.080066	31.700972	
ARFRP1	-0.22191219	2.3468882	1.8697164	
USPL1	-0.160258742	2.056467143	1.735124143	
OLFR384	0	0	0	
TSPAN4	-0.336124154	36.587252	28.775367	
GM10406	0	0	0.007408	
SLC12A1	0	0	0	
MKLN1OS	0.044902016	0.035836	0.068582	
TBRG4	-0.392199751	22.8743885	17.191494	
CPEB1	0.227705639	0.024841	0.200059333	
CORIN	-0.017811089	0.0298855	0.017249	
OLFR68	0	0	0	
PSD3	0.251878984	0.425664	0.697619333	
CPT1C	0.045596378	0.182149	0.2201075	
2210019I11RIK	0	0	0	
ACSM3	0.026777783	0.248549667	0.271940333	
DDX6	-0.361436287	12.57668267	9.567944	
GM8615	0.645484251	1.327647	2.641055	
MIR378	0	0	0	
LOC102631757	0	0	0	
SCTR	0.102621464	0.015725	0.090607	
TTBK2	-0.235065569	0.510672	0.283537	
ZFP1	-0.483097618	1.9713665	1.125834	
TMEM160	0.371273921	27.824322	36.284102	
E330017A01RIK	0	0	0	
ZFX	-0.522112536	4.5555175	2.8685925	
MLST8	-0.243950358	1.805887	1.369375	
EDNRA	-0.011253738	0.007831	0	
