!Series_platform_id				
GENE	rna	wildsubtype~osteoclast~precursor~MsubCSF~24H~rep1	wildsubtype~osteoclast~MsubCSF~RANKL~24H~rep1	@OC_up
PHTF1	0.200996029	1.65580325	2.05282375	
RNF114	-0.21205433	27.725453	23.798886	
AKTIP	-0.212436094	1.8627058	1.4707402	
ZFP120	-0.475542432	3.675612	2.362683	
PPCDC	0.496167167	5.133778	7.651457	
EPHA3	0	0	0	
GM14484	0	0	0.00874	
ARMC3	-0.037513864	0.03136375	0.00489125	
PRKCA	0.154498059	0.321413	0.470778	
PDAP1	0.642029894	44.565257	70.105645	
MC2R	0	0	0	
GNAS	-0.455046701	27.58439513	19.851932	
MORF4L2	0.334677337	17.523055	22.35933814	
MUP1	0	0	0	
ZFP2	0.006607056	0.0180026	0.0226754	
CCK	-0.160076649	0.1173465	0	
OLFR549	0	0	0	
SNORA62	0	0	0	
PEX11B	-0.030386929	2.9041382	2.8227668	
RORA	-0.003736468	0.050038667	0.047322667	
AFAP1L2	0	0	0.002416667	
N4BP3	0.552167738	1.421827	2.551094	
RBMS2	-0.222222662	2.7766325	2.2374945	
LAMP2	-1.048665532	62.269472	29.58541867	
RASA1	-0.559937509	28.125492	18.75674	
PRDX6B	0	0	0	
SIGLEC1	-3.10382135	76.882363	8.059324	
KARS	0.643601844	18.41053067	29.32360767	
RAP2B	-1.068400661	45.304267	21.080066	
ARFRP1	0.212602258	1.888295	2.3468882	
USPL1	0.253153492	1.564560429	2.056467143	
OLFR384	0	0	0	
TSPAN4	0.009024193	36.352874	36.587252	
GM10406	0	0	0	
SLC12A1	0	0	0	
MKLN1OS	-0.242501889	0.225438	0.035836	
TBRG4	0.778730394	12.915892	22.8743885	
CPEB1	-0.130253338	0.121674	0.024841	
CORIN	-0.002515099	0.0316825	0.0298855	
OLFR68	0	0	0	
PSD3	-0.647650285	1.233466	0.425664	
CPT1C	0.179176864	0.044082	0.182149	
2210019I11RIK	0	0	0	
ACSM3	-0.093049847	0.331731333	0.248549667	
DDX6	0.147029028	11.26121533	12.57668267	
GM8615	-0.735342643	2.87505	1.327647	
MIR378	0	0	0	
LOC102631757	0	0	0	
SCTR	-0.157491564	0.132885	0.015725	
TTBK2	0.102135142	0.407422333	0.510672	
ZFP1	0.531634735	1.0555035	1.9713665	
TMEM160	-0.292937964	34.313618	27.824322	
E330017A01RIK	0	0	0	
ZFX	0.320499875	3.448816	4.5555175	
MLST8	0.234117598	1.38557875	1.805887	
EDNRA	-0.000665487	0.008296	0.007831	
MFN2	0.540384156	3.4355564	5.4508946	
FLNC	-0.000789051	0.009549	0.008997	
CRYAB	-0.060947877	0.21350475	0.163307	
LPCAT3	-0.214696944	21.940065	18.768077	
RBFOX3	0	0	0	
BCCIP	0.343058653	33.761734	43.093277	
CBLL1	0.163463232	1.729654667	2.057138	
BC030476	-0.019860546	0.015436	0.001553	
AUP1	-0.009684417	38.12332133	37.86157667	
LOC101055863	0	0	0	
FBXW27	0	0	0	
USP5	0.124529703	49.439267	53.986483	
KLHL22	-0.135087314	3.238595	2.859727	
NRCAM	-0.105264286	0.0777105	0.001877	
PPHLN1	0.382110232	4.2524538	5.8452432	
RUFY4	1.310845106	0.0203575	1.5313725	
PPIL3	0.25346533	4.818269	5.9357665	
RNF170	-0.15684205	3.228838	2.79321	
ZBTB5	-0.040848807	0.852696667	0.800974667	
GRAMD1B	-1.131562838	41.923384	18.591135	
LOC100504608	0.064388709	0.115447	0.166358	
SH2B1	0.240378912	1.269984625	1.681539375	
RHOX4B	0	0	0	
FARP2	0.62074751	0.353921	1.081886	
TRIM13	0.305609069	2.026738	2.7408675	
TBC1D22BOS	-0.001774671	0.02493	0.02367	
4930563E22RIK	0.044205603	0.123886	0.158856	
CLIP4	0	0	0	
4930567H17RIK	0	0	0	
GM8801	-0.010188272	0.858011	0.844936	
PCGF2	0.215848778	0.771962333	1.057934	
LINGO1	0	0	0	
SHROOM3	-7.67E-06	0.002840333	0.002835	
GJA1	1.981051126	7.572857	32.843977	
VASP	0.275812563	17.00750175	20.80124625	
PKHD1L1	0	0	0	
GM13280	0	0	0	
RBM43	-0.336215834	3.543846667	2.599255	
GM13446	0	0	0	
TEX28	0	0	0	
GM4906	0	0	0	
CACNB4	0.012998869	0.003796	0.0128812	
TBC1D10C	-0.248502784	0.642345	0.382476	
SYTL4	-0.00401387	0.01148675	0.0086765	
TMEM9	-0.596374969	2.000515	0.984582	
CCDC43	0.418943633	12.387919	16.898955	
ATOH7	0	0	0	
UBE2DNL2	0	0	0	
GM7609	-0.423701847	0.895896	0.413408	
ACOT5	-0.001062701	0.014481	0.013734	
RANGRF	1.213474389	2.7116775	7.6072105	
B230209K01RIK	0	0	0	
LOC101056236	0	0	0	
CCT6B	0.021585186	0.0267545	0.042232	
MEP1B	0	0	0	
4930505A04RIK	0	0	0	
RAD51D	0.126834151	0.298405556	0.417722556	
HIBADH	0.470697158	27.69938	38.770997	
EHMT1	0.441751451	2.8879545	4.280823	
OCA2	0	0	0	
GPR171	-0.062273953	0.183549	0.133548	
CSN1S1	0	0	0	
SLC10A4	-0.022559239	0.030341	0.014355	
TBC1D22A	-0.55202149	27.078161	18.151096	
BC037704	0.513814131	0.303069	0.860548	
EEPD1	1.185936988	7.777389	18.969535	
TFE3	-0.487566185	7.304185167	4.9227715	
BTNL9	-0.019608261	0.037893	0.023882	
GALNS	-0.995506798	22.8522655	10.963334	
CTSH	-1.603991504	51.589294	16.300067	
2310005G13RIK	-0.029978775	0.049827	0.028237	
NDUFB5	0.305963834	51.540813	63.953279	
AI414108	0	0	0	
SLIT1	-0.087184884	0.085004	0.021377	
TMEM74	0.070846948	0.135058	0.192189	
GM4201	0	0	0	
KREMEN2	-0.021361749	0.014917	0	
FAM195A	1.668719465	6.394105	22.508246	
2310030G06RIK	0	0	0	
SLC39A12	-0.050151262	0.069254	0.032723	
SYNGR3	-0.068872171	0.065041	0.015392	
IDH1	-0.647844489	29.7455875	18.622854	
TXNRD1	0.61437883	50.453089	77.7694675	
ACTR3	0.087705354	124.667113	132.543754	
CREB1	0.220186505	2.240923667	2.775300667	
NTS	0	0	0	
PDE4B	0.668902767	0.2036754	0.9136794	
GM3763	0	0	0	
1110059G10RIK	-0.071451489	3.027445	2.832839	
EIF4E1B	0	0	0	
SLC4A10	0	0	0	
ZC3H6	0.030711198	0.381418	0.41114	
ZFP78	0.025853494	0.054374667	0.073439667	
ETV6	0.069551599	5.6191205	5.946042	
KDM4A	0.144201737	6.4201805	7.2001825	
SERPINA3B	-0.001167085	0.015292	0.014471	
SKIL	-0.874666385	7.467069333	3.61777	
ATP9A	-0.000234973	0.002920333	0.002757	
STXBP5L	1.44E-06	0.00064375	0.00064475	
TPD52L2	0.140614144	1.846163875	2.137537875	
CBX1	0.387481396	19.528548	25.853553	
DEFB39	0	0	0	
JAGN1	0.389765039	8.691024333	11.69698633	
H2AFY	0.017066588	21.48868925	21.7563025	
GM14625	0	0	0	
CPA6	-0.013281341	0.0177135	0.0083875	
MIR3098	0	0	0	
NPR2	-0.011874869	0.008265	0	
LIN9	-0.258581886	3.571179	2.8210905	
ABHD8	-0.0291581	6.937831	6.779011	
ITPR1	0.149957238	2.881096	3.306218	
CWF19L2	0.52731218	5.326838	8.118502	
REG3G	0	0	0	
TRIM40	0	0	0	
CIR1	0.465224949	7.88408	11.264762	
NHLRC4	0.023415242	0.005156	0.021603	
4922502N22RIK	0	0	0	
PRL7A2	0	0	0	
SLC6A4	3.667466908	0.145859	13.559576	
MIR24-1	0	0	0	
PRB1	0	0	0	
NQO1	0.056793199	12.449625	12.989643	
PKP4	-0.204163984	8.260673	7.038649	
OLFR619	0	0	0	
MIR6971	0	0	0	
DTNA	0.018364314	0.000592625	0.01341075	
LRCOL1	0	0	0	
ACY1	2.439093867	3.199397	21.7733725	
EXOC1	-0.030997007	6.384298333	6.227335333	
ZFP58	-0.12597234	1.853716	1.615106	
OLFR1026	0	0	0	
PHACTR2	-0.480831633	0.908612	0.3676435	
AMOTL1	0.679394534	0.876369	2.004944	
SKAP1	0	0	0	
TM9SF1	-0.043015581	32.914371	31.918102	
OLFR1404	0	0	0	
R3HCC1	0.538986142	1.759079333	3.008807333	
2310002F09RIK	0	0	0	
MCM6	0.524879079	102.362681	147.719567	
1700074P13RIK	0	0	0	
SLC25A23	-0.357827934	2.303743	1.578038	
HOXA10	0	0	0	
EDNRB	-0.388660559	0.445616333	0.104217333	
RAI2	0	0	0.013535	
UPK1B	0	0	0	
EDEM1	0.243125504	52.429406	62.236586	
SGTA	0.328257526	45.686626	57.614876	
TMEM251	0.157490448	17.496364	19.629833	
SLC35G2	0.045762755	0.082666	0.117559	
OTOF	-0.002043812	0.001417667	0	
CHTOP	0.414797545	3.62295275	5.162911875	
1110008J03RIK	0.07696266	1.3889855	1.51989	
CD36	-2.305101898	142.218034	27.9796338	
KCNMB4OS1	0	0	0	
CD244	-0.504305078	0.826823	0.28791	
ATG16L1	0.016927139	4.502749333	4.567693333	
SEMA5B	0.010838118	0.002029	0.009585	
SPATA22	0	0	0	
NTN5	-0.008787568	0.006109667	0	
CRTC2	0.399344585	10.777707	14.533719	
HCCS	0.858278285	12.773423	23.969474	
SOX17	-0.002666808	0.0018502	0	
GDF10	0	0	0	
TFAP2D	0	0	0	
PRSS22	0	0	0.251318	
GM1045	0	0	0.049338	
OLFR8	0	0	0	
ATF6B	0.038422183	36.240004	37.245113	
4921525O09RIK	0	0	0	
CDK20	-0.920906065	27.975145	14.304011	
MIR451	0	0	0	
CHM	-0.187678108	7.157928	6.162805	
RNF6	0.115367514	4.00487625	4.421537	
FIGNL2	-0.02615815	0.292126	0.268909	
UBAP2L	0.351956154	7.48969625	9.83531425	
ZFP82	-0.00124248	0.377706667	0.376520667	
ABCA15	0	0	0	
NEIL3	-0.105492967	11.015549	10.1683	
ZFP286	-0.059780213	0.142555	0.096179	
MIR92-2	0	0	0	
FAM19A2	-0.009779988	0.006802	0	
SUV420H2	0.542591436	6.748084	10.285755	
VMN1R51	0	0	0	
HS3ST5	0	0	0	
1500012F01RIK	1.235872373	14.284733	34.999172	
KCNMA1	0	0	0	
OLFR131	0	0	0	
DUSP4	1.531154585	10.871788	33.311491	
BUB1	0.451928883	9.995827	14.0408385	
4930522H14RIK	0	0	0	
SNX4	-0.419278538	42.213849	31.315251	
ADAM1B	0.045867563	0.090492	0.125719	
SYNE3	1.295886246	6.2477875	16.7953315	
OTUD4	0.682039527	6.290284	10.6965775	
PSG17	0	0	0	
VPS13B	0.05627559	5.138563	5.382743	
KLK15	0	0	0	
